title,company,location,how_old,link_job
DESENVOLVEDOR SENIOR - RUBY,AlfaCon,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=cd2ef75ea4f16a6e&fccid=8fac37a97c557b05&vjs=3
Desenvolvedor(a) Ruby Senior,Pitzi,Remoto,há 19 dias,https://br.indeed.com/rc/clk?jk=8442b806535c2462&fccid=0a67eaadd70a70c0&vjs=3
estágio em desenvolvimento front-end,enjoei,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5c6acaef4999e1e3&fccid=f308c360f3026acd&vjs=3
Desenvolvedor(a) Full Stack - Ruby Pleno,Zygo,"Florianópolis, SC",há 6 dias,https://br.indeed.com/rc/clk?jk=0352a51146a283ec&fccid=f0a50e88aa50fe22&vjs=3
Desenvolvedor Ruby,Tunts,"Curitiba, PR",há 20 dias,https://br.indeed.com/rc/clk?jk=ac8c1d6cb679dde1&fccid=ee113dacd12b208f&vjs=3
Desenvolvedor Ruby Sênior,Tunts,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=35753a442273a239&fccid=ee113dacd12b208f&vjs=3
Desenvolvedor(a) Ruby Pleno,Shipsmart,Remoto,há 12 dias,https://br.indeed.com/rc/clk?jk=9bb10df539c9984e&fccid=3e6e6860210d915a&vjs=3
desenvolvedor(a) back end,enjoei,"São Paulo, SP",há 14 dias,https://br.indeed.com/rc/clk?jk=48d84c3b3af91e58&fccid=f308c360f3026acd&vjs=3
Desenvolvedor(a) Ruby on Rails,Sólides,Remoto,há 6 dias,https://br.indeed.com/rc/clk?jk=c3a922682d3cab3d&fccid=149e3562f48c63f3&vjs=3
Full Stack Developer,Pontomais,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=afe7b880064e020d&fccid=6ddd3a53821a1c4b&vjs=3
"Sr. Software Architect, PC",Lenovo,"Indaiatuba, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=405608ae387c609a&fccid=af103eaff391cdf0&vjs=3
Desenvolvedor(a) Pleno(a) - Full Stack Ruby,Nutrebem,Remoto,há 18 dias,https://br.indeed.com/rc/clk?jk=efc9cfcb2953bec4&fccid=ca39f8f3f29616c9&vjs=3
Analista de Qualidade de Software,Zappts,"São José dos Campos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a4ae6824a2dd616c&fccid=918ea0a3456abc27&vjs=3
"Staff Software Engineer, Backend",Change.org,"Vitória, ES",há 28 dias,https://br.indeed.com/rc/clk?jk=2396f6144ecb0255&fccid=3433aab0a6573d98&vjs=3
Engenheiro de Sistemas Sênior (2),Acesso,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=282fc187eb1198c5&fccid=345c37a20c4ce3af&vjs=3
NEON - Analista de Infraestrutura II - NOC,Neon,"São Paulo, SP",há 18 dias,https://br.indeed.com/rc/clk?jk=0b489232ad38b3f7&fccid=70dcb313de6ce890&vjs=3
Desenvolvedor(a) Ruby on Rails Sênior,Agenda Edu,"Fortaleza, CE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=fc689401949e5690&fccid=1a5d771b91151025&vjs=3
Data Scientist,Tempest,"Recife, PE",há 8 dias,https://br.indeed.com/rc/clk?jk=6487675e505fd3c2&fccid=5694053ccc30dc57&vjs=3
Cloud Engineer Pleno,Oportunidades Gobetti RH,"São José dos Campos, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=985c35c7316a06a6&fccid=5aabc083e6b8a70a&vjs=3
Pessoa Engenheira de Software - Full Stack | Growth Engineering,RD Station,"Florianópolis, SC",há 10 dias,https://br.indeed.com/rc/clk?jk=44aa0b9e16bd011d&fccid=943c4ec34e54e91b&vjs=3
Pessoa Engenheira de Software - Frontend (React),RD Station,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7ddf7a917a5bc050&fccid=943c4ec34e54e91b&vjs=3
QA Sênior,Mazzatech,"Pinheiros, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ec2b9754400c1684&fccid=7d320c75db933aec&vjs=3
Software Engineer,cloudwalk,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a72cf93dd506855c&fccid=0c0a3ff12e062dc9&vjs=3
Analista de Dados bdd,GeekHunter,Brasil,Recém publicada,https://br.indeed.com/rc/clk?jk=462bb0f3d1d68e9c&fccid=9ba8dec3013c0c90&vjs=3
Desenvolvedor de Interface Sênior [REMOTO],Ignição Digital,"Brasília, DF",há 9 dias,https://br.indeed.com/rc/clk?jk=79d4e79b2c8ed594&fccid=332945364e68149c&vjs=3
Desenvolvedor Ruby,Mazzatech,"Rio de Janeiro, RJ",há 21 dias,https://br.indeed.com/rc/clk?jk=ad351a76a0609ae6&fccid=7d320c75db933aec&vjs=3
Desenvolvedor - Ruby on Rails,Tree Consultoria,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f7d0a9df6da9434b&fccid=a0eae74c39235198&vjs=3
Desenvolvedor mobile React Native,Sparta Labs,"Blumenau, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e283a5f5c1505c2d&fccid=c8cabf0481c8572e&vjs=3
DevOps,Infobase,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9a18651ef11dfa93&fccid=9e801c5575a74058&vjs=3
Associate Solutions Consultant,Zendesk,"São Paulo, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=fc7b77e547d635f0&fccid=41e8f9abd9840a7a&vjs=3
Pessoa Coordenadora de Engenharia de Software,RD Station,"Florianópolis, SC",há 10 dias,https://br.indeed.com/rc/clk?jk=730f9255cf901461&fccid=943c4ec34e54e91b&vjs=3
COODENADOR DE SUPORTE BILINGUE,Mazzatech,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0ad9ade0fa6aa875&fccid=7d320c75db933aec&vjs=3
Desenvolvedoxr Back-end Jr.,Noverde,"São Paulo, SP",há 14 dias,https://br.indeed.com/rc/clk?jk=fc8ca8b1aac25651&fccid=afd21eb3da49bc50&vjs=3
DESENVOLVEDOR PLENO - RUBY,AlfaCon,"São Paulo, SP",há 5 dias,https://br.indeed.com/rc/clk?jk=6e48bbfcaca2ccfc&fccid=8fac37a97c557b05&vjs=3
Software Engineer Sr.,Mazzatech,"São Paulo, SP",há 14 dias,https://br.indeed.com/rc/clk?jk=a900cc095458a627&fccid=7d320c75db933aec&vjs=3
Software Dev Engineer - AWS Learning Products,Amazon AWS Services Brazil Ltd,"São Paulo, SP",Recém publicada,https://br.indeed.com/rc/clk?jk=195a0b946d290752&fccid=fe2d21eef233e94a&vjs=3
Pessoa Desenvolvedora Back-End,mLabs,"São José dos Campos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e10c605ca1f1c810&fccid=b8af0d9ef81d2a77&vjs=3
Pessoa Desenvolvedora Ruby on Rails (Back-End),James Delivery,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3f89e2dcb77ff007&fccid=cc9c7ddb6dff1b54&vjs=3
[Digital] QA Tester,ília,"Brasília, DF",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2a9b8293a747884d&fccid=b27d2e8ddef5c8b0&vjs=3
Dev Ruby on Rails Sênior,GINGA ONE,"Berrini, SP",há 19 dias,https://br.indeed.com/rc/clk?jk=93227eace453493d&fccid=75b797ec62f7afb6&vjs=3
[Culture] QA Tester,ília,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=10b342683ae409d3&fccid=b27d2e8ddef5c8b0&vjs=3
Software Engineer,Phone2Action,"Belo Horizonte, MG",há 26 dias,https://br.indeed.com/rc/clk?jk=5eea9c0627141fa3&fccid=d97427a85e0b81f9&vjs=3
Cloud Engineer Junior,Quero Educação,"São José dos Campos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a1fa14bc7ac0557a&fccid=4c10b03c51662982&vjs=3
"(Senior) Software Engineer, Test",Sensor Tower,"Recife, PE",há 18 dias,https://br.indeed.com/rc/clk?jk=248719f1b04ae702&fccid=c659788ec6cc356e&vjs=3
Desenvolvedor(a) Web,Atende Simples,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1b4b1dac836b6550&fccid=5236b20a985484ba&vjs=3
Frontend Developer,Herospark,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=914a0a837a362623&fccid=246eab63600527dd&vjs=3
DevOps Engineer (Remote job),Klever,"São Paulo, SP",há 6 dias,https://br.indeed.com/rc/clk?jk=609488e1ab606fd7&fccid=40009d1c8f7fcf1e&vjs=3
Desenvolvedor Back-end Ruby on Rails,Tech.fit,"São Carlos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=93431eed67ff0842&fccid=de7fd39780287235&vjs=3
Desenvolvedor(a) Ruby on Rails Sênior,Cavylabs,Remoto,há 13 dias,https://br.indeed.com/rc/clk?jk=a7a16eef9bcbf9e6&fccid=df0d6ea83ed063b6&vjs=3
Front End Engineer,Sensor Tower,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=05439465da52185a&fccid=c659788ec6cc356e&vjs=3
Full Stack Developer,Ativy,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f1f46b0554260897&fccid=de6933a13f226b49&vjs=3
Software Development Engineer,Amzn Servicos de Varejo do Bra,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=73106290c4364903&fccid=fe2d21eef233e94a&vjs=3
Senior Linux Engineer,JobMatchingPartner,Mato Grosso,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ddecdf0b4f55109e&fccid=740427ab9cdfe104&vjs=3
Desenvolvedor(a) Backend | Personalização,PicPay,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8317327ac97c0fca&fccid=c031daea3b1126ba&vjs=3
Software Engineering Manager - Supporters,Change.org,"Vitória, ES",há 28 dias,https://br.indeed.com/rc/clk?jk=60e57133728b5091&fccid=3433aab0a6573d98&vjs=3
